"year","month","day","country","region","city","attacktype","nkill","nwound"
1979,3,7,Israel,Middle East & North Africa,"Rome",Bombing/Explosion,0,0
1979,3,14,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,3,23,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,14
1979,3,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,13
1979,3,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,5
1979,3,27,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,17
1979,3,27,Israel,Middle East & North Africa,"Lydda(10 Mi. east of Tel Aviv",Bombing/Explosion,1,18
1979,4,6,Israel,Middle East & North Africa,"Tiberia",Bombing/Explosion,0,0
1979,4,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,15
1979,4,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,4,10,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,1,33
1979,4,15,Israel,Middle East & North Africa,"Tirat Zvi Kibbutz",Armed Assault,4,0
1979,4,16,Israel,Middle East & North Africa,"Zarit settlement",Armed Assault,1,6
1979,4,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,4,18,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,5,0
1979,4,21,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,4,22,Israel,Middle East & North Africa,"Nahariua*",Bombing/Explosion,6,5
1979,4,22,Israel,Middle East & North Africa,"Naharia",Hostage Taking (Kidnapping),2,0
1979,4,23,Israel,Middle East & North Africa,"Silwan(near Jerusalem)",Bombing/Explosion,1,1
1979,4,26,Israel,Middle East & North Africa,"Beit Safafa Village",Bombing/Explosion,0,0
1979,4,28,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1979,4,28,Israel,Middle East & North Africa,"Lydda",Facility/Infrastructure Attack,0,0
1979,5,1,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,0
1979,5,6,Israel,Middle East & North Africa,"Petah Tiqwa(near Tel Aviv)",Bombing/Explosion,0,0
1979,5,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,5,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,5,9,Israel,Middle East & North Africa,"Al-Manara (Ramin) settlement*",Bombing/Explosion,2,0
1979,5,10,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,5,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,5,11,Israel,Middle East & North Africa,"Netanya (coast between Haifa and Tel Aviv)",Bombing/Explosion,0,0
1979,5,14,Israel,Middle East & North Africa,"Tiberias",Bombing/Explosion,2,28
1979,5,22,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,5,23,Israel,Middle East & North Africa,"Petam-Tikva",Bombing/Explosion,3,13
1979,5,24,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1979,5,27,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,5,28,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,1
1979,6,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,3
1979,6,13,Israel,Middle East & North Africa,"Hadera",Bombing/Explosion,0,0
1979,6,19,Israel,Middle East & North Africa,"Eliezer*",Bombing/Explosion,0,0
1979,6,20,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,6,20,Israel,Middle East & North Africa,"Hadera",Bombing/Explosion,0,0
1979,6,24,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,2,3
1979,6,26,Israel,Middle East & North Africa,"Lod",Bombing/Explosion,0,1
1979,6,26,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Between Tel Aviv and Petah Tikva",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,7,1,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,7,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,7,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1979,7,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,7,6,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,7,7,Israel,Middle East & North Africa,"Manda",Bombing/Explosion,1,10
1979,7,8,Israel,Middle East & North Africa,"Golan Heights",Bombing/Explosion,0,0
1979,7,9,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,7,12,Israel,Middle East & North Africa,"Peath-Tiqva",Bombing/Explosion,0,0
1979,7,21,Israel,Middle East & North Africa,"Natanya",Bombing/Explosion,0,0
1979,7,23,Israel,Middle East & North Africa,"Kfar Saua( south of Herzliyya)",Bombing/Explosion,0,1
1979,7,24,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,2
1979,7,25,Israel,Middle East & North Africa,"Nathania",Bombing/Explosion,0,12
1979,8,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,2
1979,8,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,2,2
1979,8,5,Israel,Middle East & North Africa,"between Majdal and Costania",Unknown,8,0
1979,8,7,Israel,Middle East & North Africa,"Natania Settlement(north of Tel Aviv)",Bombing/Explosion,0,6
1979,8,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,8,Israel,Middle East & North Africa,"Benei Brak( near Tel Aviv)",Bombing/Explosion,0,0
1979,8,9,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,14,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,8,14,Israel,Middle East & North Africa,"Bnei Brak Settlement(North of Tel Aviv)",Bombing/Explosion,0,0
1979,8,15,Israel,Middle East & North Africa,"Natanya",Bombing/Explosion,0,2
1979,8,15,Israel,Middle East & North Africa,"Tel Aviv (north of)",Bombing/Explosion,7,0
1979,8,15,Israel,Middle East & North Africa,"Kfar Saba(9mi. N.E. of Tel Aviv)",Bombing/Explosion,0,1
1979,8,21,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,21,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,3
1979,8,22,Israel,Middle East & North Africa,"KFAR SABA(15 miles north of Tel Aviv)",Bombing/Explosion,0,0
1979,8,22,Israel,Middle East & North Africa,"Tel Aviv",Facility/Infrastructure Attack,0,0
1979,8,22,Israel,Middle East & North Africa,"Jerusalem-Hebron Road",Bombing/Explosion,0,0
1979,8,24,Israel,Middle East & North Africa,"Petah Tiqwa",Facility/Infrastructure Attack,0,0
1979,8,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,29,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,29,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,8,29,Israel,Middle East & North Africa,"Jersualem",Bombing/Explosion,0,2
1979,8,29,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1979,8,31,Israel,Middle East & North Africa,"Affouleh",Bombing/Explosion,0,0
1979,8,31,Israel,Middle East & North Africa,"Yehuda",Bombing/Explosion,0,2
1979,9,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,9,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1979,9,7,Israel,Middle East & North Africa,"Petah-Tikva",Bombing/Explosion,0,0
1979,9,14,Israel,Middle East & North Africa,"Jaffa",Bombing/Explosion,0,0
1979,9,15,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,1
1979,9,16,Israel,Middle East & North Africa,"Jerusalem",Assassination,1,0
1979,9,19,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,9,19,Israel,Middle East & North Africa,"Jaffa",Bombing/Explosion,0,1
1979,9,19,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,42
1979,9,20,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,9,20,Israel,Middle East & North Africa,"Tel Aviv - Jerusalem",Bombing/Explosion,0,0
1979,9,25,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,9,27,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,6
1979,10,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,10,4,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1979,10,12,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1979,10,23,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,10,26,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,1
1979,10,26,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,11,1,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,1,0
1979,11,1,Israel,Middle East & North Africa,"Tel Aviv-Haifa",Bombing/Explosion,0,0
1979,11,9,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1979,11,12,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,11
1979,11,19,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,8
1979,11,19,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,3
1979,12,3,Israel,Middle East & North Africa,"Ashquelon",Bombing/Explosion,0,0
1979,12,27,Israel,Middle East & North Africa,"Hoshau Zofar, Road leading to",Bombing/Explosion,0,0
1980,1,2,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,1,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,1,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,1,9,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1980,1,9,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1980,1,15,Israel,Middle East & North Africa,"Bat Yam",Bombing/Explosion,0,0
1980,1,23,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,2,3,Israel,Middle East & North Africa,"Rehovat",Bombing/Explosion,0,6
1980,2,3,Israel,Middle East & North Africa,"Rehovot",Bombing/Explosion,0,6
1980,2,6,Israel,Middle East & North Africa,"Ayalon",Bombing/Explosion,0,1
1980,2,7,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1980,2,11,Israel,Middle East & North Africa,"Petah tikva",Bombing/Explosion,0,12
1980,2,14,Israel,Middle East & North Africa,"Beit Leham",Armed Assault,0,0
1980,2,18,Israel,Middle East & North Africa,"Ramla",Bombing/Explosion,0,0
1980,2,21,Israel,Middle East & North Africa,"Kiryat Gat north of beersheba",Bombing/Explosion,0,0
1980,3,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,9,Israel,Middle East & North Africa,"Ilabum village",Bombing/Explosion,0,0
1980,3,10,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,10,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,11,Israel,Middle East & North Africa,"Nashon Junction",Bombing/Explosion,0,0
1980,3,11,Israel,Middle East & North Africa,"Galilee",Armed Assault,0,0
1980,3,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,17,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,23,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1980,3,24,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,3,24,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,3
1980,3,27,Israel,Middle East & North Africa,"Avod Village",Bombing/Explosion,0,0
1980,3,30,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,0
1980,4,1,Israel,Middle East & North Africa,"Tiberias",Bombing/Explosion,0,0
1980,4,7,Israel,Middle East & North Africa,"Misgavam",Bombing/Explosion,8,5
1980,4,16,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,4,27,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1980,5,0,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,1
1980,5,5,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,5,6,Israel,Middle East & North Africa,"Jerusam",Bombing/Explosion,0,0
1980,5,11,Israel,Middle East & North Africa,"UNK",Facility/Infrastructure Attack,0,0
1980,5,11,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1980,5,25,Israel,Middle East & North Africa,"Jerusalem",Facility/Infrastructure Attack,0,0
1980,5,25,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,0
1980,6,2,Israel,Middle East & North Africa,"El Bira",Assassination,0,1
1980,6,7,Israel,Middle East & North Africa,"Neat Hakiker Settlement",Armed Assault,0,0
1980,6,9,Israel,Middle East & North Africa,"Ramla",Bombing/Explosion,0,0
1980,6,9,Israel,Middle East & North Africa,"Ramlu",Bombing/Explosion,0,0
1980,6,10,Israel,Middle East & North Africa,"Petah Tikva",Bombing/Explosion,0,0
1980,6,10,Israel,Middle East & North Africa,"Petah Tikva",Bombing/Explosion,0,0
1980,6,10,Israel,Middle East & North Africa,"Petah Tikva",Bombing/Explosion,0,0
1980,6,10,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,1
1980,6,11,Israel,Middle East & North Africa,"Beit Zurif",Bombing/Explosion,0,0
1980,6,16,Israel,Middle East & North Africa,"Naharia",Armed Assault,0,1
1980,6,16,Israel,Middle East & North Africa,"Achziv",Bombing/Explosion,0,0
1980,6,20,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1980,6,22,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,6,23,Israel,Middle East & North Africa,"Pardess Katz",Bombing/Explosion,0,0
1980,6,23,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,6,23,Israel,Middle East & North Africa,"Tel Aviv Suburb",Bombing/Explosion,0,3
1980,6,24,Israel,Middle East & North Africa,"Tel Aviv Suburb",Facility/Infrastructure Attack,0,0
1980,6,25,Israel,Middle East & North Africa,"unidentified",Assassination,1,0
1980,7,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,7,7,Israel,Middle East & North Africa,"Ramat-Jan",Bombing/Explosion,0,0
1980,7,25,Israel,Middle East & North Africa,"Bat Yam",Assassination,0,2
1980,8,0,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,8,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,8,3,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,8,11,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,8,12,Israel,Middle East & North Africa,"Jerusalem (Talpiyyat) on Hebron road",Bombing/Explosion,0,0
1980,8,12,Israel,Middle East & North Africa,"Dimona (negev desert)",Bombing/Explosion,0,0
1980,8,24,Israel,Middle East & North Africa,"Jerusalem- Tel Aviv Hwy",Bombing/Explosion,1,12
1980,8,25,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1980,9,13,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,2
1980,10,5,Israel,Middle East & North Africa,"Givatayim",Bombing/Explosion,2,7
1980,10,13,Israel,Middle East & North Africa,"Heizelya",Bombing/Explosion,0,0
1980,10,25,Israel,Middle East & North Africa,"Unidentified",Unknown,0,0
1980,10,26,Israel,Middle East & North Africa,"Jerusalem (outskirts)",Bombing/Explosion,0,14
1980,10,26,Israel,Middle East & North Africa,"Ramat Gan",Bombing/Explosion,0,2
1980,11,7,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,11,18,Israel,Middle East & North Africa,"Djebelia",Assassination,1,0
1980,12,4,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1980,12,29,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1980,12,29,Israel,Middle East & North Africa,"Ashkelon",Bombing/Explosion,0,0
1981,1,9,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,1,18,Israel,Middle East & North Africa,"road between Ramallah and Nablus",Bombing/Explosion,0,0
1981,1,28,Israel,Middle East & North Africa,"Kfar-Vitkin",Facility/Infrastructure Attack,0,0
1981,2,7,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,2,10,Israel,Middle East & North Africa,"Siloved",Bombing/Explosion,0,0
1981,2,15,Israel,Middle East & North Africa,"Rishon-Lezion",Bombing/Explosion,0,0
1981,2,19,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1981,2,23,Israel,Middle East & North Africa,"Jaffa",Bombing/Explosion,0,1
1981,2,24,Israel,Middle East & North Africa,"Giftlik",Bombing/Explosion,0,0
1981,3,7,Israel,Middle East & North Africa,"Haifa",Bombing/Explosion,0,0
1981,3,9,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,1
1981,3,14,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1981,3,25,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,3,29,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,4
1981,3,30,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,0
1981,4,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,2
1981,4,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,1,2
1981,4,13,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,4,16,Israel,Middle East & North Africa,"Manara",Armed Assault,0,0
1981,4,24,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1981,5,1,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,1
1981,5,7,Israel,Middle East & North Africa,"Dimona",Bombing/Explosion,0,0
1981,6,25,Israel,Middle East & North Africa,"Ashdod",Bombing/Explosion,0,0
1981,7,19,Israel,Middle East & North Africa,"Ziryat Gat",Bombing/Explosion,0,0
1981,7,28,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1981,7,29,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,4
1981,7,30,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1981,7,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,7,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,8,8,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,8,11,Israel,Middle East & North Africa,"Moshav Argaman",Bombing/Explosion,0,7
1981,8,23,Israel,Middle East & North Africa,"Lod",Bombing/Explosion,0,0
1981,8,29,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1981,9,1,Israel,Middle East & North Africa,"Akko",Bombing/Explosion,0,0
1981,11,10,Israel,Middle East & North Africa,"Qalqilyah",Facility/Infrastructure Attack,0,2
1981,11,26,Israel,Middle East & North Africa,"Haifa",Facility/Infrastructure Attack,1,2
1982,1,11,Israel,Middle East & North Africa,"Te Aviv (suburb of Petah Tikva)",Bombing/Explosion,0,1
1982,1,17,Israel,Middle East & North Africa,"Tel Aviv",Bombing/Explosion,0,0
1982,1,20,Israel,Middle East & North Africa,"Petah Tikua",Bombing/Explosion,0,0
1982,1,24,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,2,22,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,2,22,Israel,Middle East & North Africa,"Petah Tikua",Bombing/Explosion,0,0
1982,2,23,Israel,Middle East & North Africa,"Beersheba",Bombing/Explosion,0,0
1982,2,26,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,2,28,Israel,Middle East & North Africa,"Holon",Bombing/Explosion,0,0
1982,3,6,Israel,Middle East & North Africa,"Nir-Zvi",Facility/Infrastructure Attack,0,0
1982,3,7,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,3,7,Israel,Middle East & North Africa,"Azmut Village",Armed Assault,0,0
1982,3,8,Israel,Middle East & North Africa,"Kefar Sava",Bombing/Explosion,0,0
1982,3,11,Israel,Middle East & North Africa,"Holon",Bombing/Explosion,0,0
1982,3,12,Israel,Middle East & North Africa,"Nes-Ziona",Bombing/Explosion,0,0
1982,3,13,Israel,Middle East & North Africa,"Ramlah",Bombing/Explosion,0,0
1982,3,29,Israel,Middle East & North Africa,"Petah-Tiqua",Bombing/Explosion,0,0
1982,3,30,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,3,31,Israel,Middle East & North Africa,"Beit Zafafa",Bombing/Explosion,0,0
1982,3,31,Israel,Middle East & North Africa,"Beit Jaha",Armed Assault,0,0
1982,3,31,Israel,Middle East & North Africa,"Jerusalem",Bombing/Explosion,0,0
1982,3,31,Israel,Middle East & North Africa,"Tarquimiya",Assassination,0,1
1982,4,5,Israel,Middle East & North Africa,"Hedera",Bombing/Explosion,0,0
1982,4,7,Israel,Middle East & North Africa,"Jerusalem",Armed Assault,0,5
